week,skill,count,co_skills
2024-W01,java,266.3,"['agile', 'android', 'angular']"
2024-W01,javascript,260.8,"['agile', 'android', 'angular']"
2024-W01,react,236.0,"['agile', 'android', 'angular']"
2024-W01,python,228.7,"['agile', 'android', 'angular']"
2024-W01,nodejs,200.4,"['agile', 'android', 'angular']"
2024-W01,aws,192.6,"['agile', 'android', 'angular']"
2024-W01,mysql,189.3,"['agile', 'android', 'angular']"
2024-W01,dotnet,186.9,"['agile', 'android', 'angular']"
2024-W01,docker,185.8,"['agile', 'android', 'angular']"
2024-W01,csharp,172.0,"['agile', 'android', 'angular']"
2024-W01,angular,162.4,"['agile', 'android', 'aws']"
2024-W01,php,153.4,"['agile', 'android', 'angular']"
2024-W01,devops,151.4,"['agile', 'android', 'angular']"
2024-W01,android,149.2,"['agile', 'angular', 'aws']"
2024-W01,azure,147.2,"['agile', 'android', 'angular']"
2024-W01,spring,145.8,"['agile', 'android', 'angular']"
2024-W01,agile,136.6,"['android', 'angular', 'aws']"
2024-W01,data science,133.9,"['agile', 'android', 'angular']"
2024-W01,postgresql,132.8,"['agile', 'android', 'angular']"
2024-W01,machine learning,132.6,"['agile', 'android', 'angular']"
2024-W01,mongodb,126.2,"['agile', 'android', 'angular']"
2024-W01,flutter,124.7,"['agile', 'android', 'angular']"
2024-W01,react native,112.6,"['agile', 'android', 'angular']"
2024-W01,cybersecurity,111.9,"['agile', 'android', 'angular']"
2024-W01,kubernetes,103.2,"['agile', 'android', 'angular']"
2024-W01,laravel,101.6,"['agile', 'android', 'angular']"
2024-W01,google cloud,98.3,"['agile', 'android', 'angular']"
2024-W01,blockchain,93.1,"['agile', 'android', 'angular']"
2024-W01,typescript,92.7,[]
2024-W01,deep learning,92.4,"['agile', 'android', 'angular']"
2024-W01,tensorflow,90.0,"['agile', 'android', 'angular']"
2024-W01,next.js,88.9,"['agile', 'android', 'angular']"
2024-W01,django,88.1,"['agile', 'android', 'angular']"
2024-W01,data engineering,87.6,"['agile', 'android', 'angular']"
2024-W01,cpp,84.6,"['agile', 'android', 'angular']"
2024-W01,vue,83.9,"['agile', 'android', 'angular']"
2024-W01,microservices,81.6,"['agile', 'android', 'angular']"
2024-W01,terraform,81.5,"['agile', 'android', 'angular']"
2024-W01,flask,79.3,"['agile', 'android', 'angular']"
2024-W01,redis,78.2,"['agile', 'android', 'angular']"
2024-W01,ios,77.8,"['agile', 'android', 'angular']"
2024-W01,pytorch,77.6,"['agile', 'android', 'angular']"
2024-W01,tailwind,72.6,[]
2024-W01,kotlin,70.9,"['agile', 'android', 'angular']"
2024-W01,elasticsearch,67.7,"['agile', 'android', 'angular']"
2024-W01,dart,67.3,"['agile', 'android', 'angular']"
2024-W01,go,64.6,"['agile', 'android', 'angular']"
2024-W01,scikit-learn,59.6,"['agile', 'android', 'angular']"
2024-W01,graphql,53.7,[]
2024-W01,rust,51.6,"['agile', 'android', 'angular']"
2024-W01,swift,50.0,"['agile', 'android', 'angular']"
2024-W01,ruby,44.3,"['agile', 'android', 'angular']"
2024-W01,scala,37.6,"['agile', 'android', 'angular']"
2024-W01,fastapi,37.1,[]
2024-W01,svelte,35.3,"['agile', 'android', 'angular']"
2024-W01,llm,32.9,[]
2024-W01,langchain,31.0,[]
2024-W02,java,281.5,"['agile', 'android', 'angular']"
2024-W02,javascript,261.3,"['agile', 'android', 'angular']"
2024-W02,react,244.3,"['agile', 'android', 'angular']"
2024-W02,python,220.7,"['agile', 'android', 'angular']"
2024-W02,nodejs,202.1,"['agile', 'android', 'angular']"
2024-W02,dotnet,193.7,"['agile', 'android', 'angular']"
2024-W02,aws,190.6,"['agile', 'android', 'angular']"
2024-W02,mysql,183.5,"['agile', 'android', 'angular']"
2024-W02,docker,179.3,"['agile', 'android', 'angular']"
2024-W02,csharp,172.8,"['agile', 'android', 'angular']"
2024-W02,angular,165.0,"['agile', 'android', 'aws']"
2024-W02,spring,156.1,"['agile', 'android', 'angular']"
2024-W02,devops,152.7,"['agile', 'android', 'angular']"
2024-W02,agile,142.7,"['android', 'angular', 'aws']"
2024-W02,php,135.9,"['agile', 'android', 'angular']"
2024-W02,android,135.6,"['agile', 'angular', 'aws']"
2024-W02,flutter,135.6,"['agile', 'android', 'angular']"
2024-W02,machine learning,135.6,"['agile', 'android', 'angular']"
2024-W02,azure,134.9,"['agile', 'android', 'angular']"
2024-W02,cybersecurity,132.9,"['agile', 'android', 'angular']"
2024-W02,postgresql,126.2,"['agile', 'android', 'angular']"
2024-W02,data science,122.2,"['agile', 'android', 'angular']"
2024-W02,mongodb,121.0,"['agile', 'android', 'angular']"
2024-W02,kubernetes,115.3,"['agile', 'android', 'angular']"
2024-W02,typescript,109.6,"['agile', 'android', 'angular']"
2024-W02,react native,108.7,"['agile', 'android', 'angular']"
2024-W02,google cloud,104.1,"['agile', 'android', 'angular']"
2024-W02,cpp,95.9,"['agile', 'android', 'angular']"
2024-W02,microservices,95.7,"['agile', 'android', 'angular']"
2024-W02,laravel,93.6,"['agile', 'android', 'angular']"
2024-W02,blockchain,89.9,[]
2024-W02,tailwind,88.7,"['agile', 'android', 'angular']"
2024-W02,next.js,88.5,"['agile', 'android', 'angular']"
2024-W02,django,85.5,"['agile', 'android', 'angular']"
2024-W02,deep learning,84.4,"['agile', 'android', 'angular']"
2024-W02,pytorch,83.8,"['agile', 'android', 'angular']"
2024-W02,tensorflow,83.3,"['agile', 'android', 'angular']"
