skill,variant,folds,n_points,mae,rmse,mape,mape_excluded_zero_actuals
agile,arima_es,31,124,7.054,8.961,5.69,0
agile,holt_winters_full,31,124,7.126,8.974,5.68,0
agile,naive,31,124,11.073,13.552,8.83,0
agile,sarima,31,124,7.04,9.108,5.68,0
agile,xgboost,31,124,8.106,10.058,6.51,0
android,arima_es,31,124,7.552,9.613,5.93,0
android,holt_winters_full,31,124,7.385,9.554,5.74,0
android,naive,31,124,9.444,11.621,7.52,0
android,sarima,31,124,7.177,8.683,5.67,0
android,xgboost,31,124,7.909,9.868,6.29,0
angular,arima_es,31,124,7.383,9.917,5.15,0
angular,holt_winters_full,31,124,7.282,9.751,5.03,0
angular,naive,31,124,9.379,11.409,6.51,0
angular,sarima,31,124,6.735,8.241,4.73,0
angular,xgboost,31,124,7.624,9.551,5.36,0
aws,arima_es,31,124,6.525,8.028,3.18,0
aws,holt_winters_full,31,124,6.381,7.722,3.14,0
aws,naive,31,124,7.468,9.445,3.64,0
aws,sarima,31,124,6.342,7.835,3.08,0
aws,xgboost,31,124,7.427,9.321,3.59,0
azure,arima_es,31,124,6.868,8.526,4.18,0
azure,holt_winters_full,31,124,6.625,8.279,4.09,0
azure,naive,31,124,9.185,11.335,5.59,0
azure,sarima,31,124,7.158,8.699,4.37,0
azure,xgboost,31,124,7.44,9.191,4.54,0
blockchain,arima_es,31,124,8.391,10.971,8.87,0
blockchain,holt_winters_full,31,124,7.847,10.351,8.06,0
blockchain,naive,31,124,10.137,12.805,10.55,0
blockchain,sarima,31,124,9.538,13.329,9.98,0
blockchain,xgboost,31,124,10.434,13.275,10.96,0
cpp,arima_es,31,124,7.822,10.627,10.12,0
cpp,holt_winters_full,31,124,7.792,10.459,9.93,0
cpp,naive,31,124,8.79,11.089,11.36,0
cpp,sarima,31,124,7.216,9.114,9.44,0
cpp,xgboost,31,124,7.707,10.106,9.94,0
csharp,arima_es,31,124,7.592,9.761,4.52,0
csharp,holt_winters_full,31,124,7.456,9.719,4.42,0
csharp,naive,31,124,8.323,10.709,4.93,0
csharp,sarima,31,124,7.348,9.215,4.39,0
csharp,xgboost,31,124,8.196,10.133,4.88,0
cybersecurity,arima_es,31,124,7.214,9.077,5.0,0
cybersecurity,holt_winters_full,31,124,6.667,8.406,4.71,0
cybersecurity,naive,31,124,8.581,10.607,5.91,0
cybersecurity,sarima,31,124,7.408,9.332,5.15,0
cybersecurity,xgboost,31,124,8.743,10.926,6.08,0
dart,arima_es,31,124,7.229,9.147,11.4,0
dart,holt_winters_full,31,124,7.02,8.916,11.24,0
dart,naive,31,124,8.992,11.651,14.41,0
dart,sarima,31,124,7.271,9.12,11.45,0
dart,xgboost,31,124,8.832,10.719,13.76,0
data engineering,arima_es,31,124,7.217,8.672,6.4,0
data engineering,holt_winters_full,31,124,6.501,8.203,5.95,0
data engineering,naive,31,124,9.145,11.209,8.21,0
data engineering,sarima,31,124,7.554,8.948,6.73,0
data engineering,xgboost,31,124,8.376,10.127,7.44,0
data science,arima_es,31,124,7.992,11.659,5.38,0
data science,holt_winters_full,31,124,7.635,11.358,5.24,0
data science,naive,31,124,9.427,11.775,6.26,0
data science,sarima,31,124,7.295,8.948,4.78,0
data science,xgboost,31,124,8.965,10.621,5.94,0
deep learning,arima_es,31,124,7.133,8.77,6.15,0
