skill,lag_weeks,origin_week,train_size,variant,forecast_week,horizon_step,actual,predicted,abs_error,sq_error,pct_error
llm,1,2024-W09,8,arima_local,2024-W10,1,11.0,10.57,0.4299999999999997,0.18489999999999976,3.9090909090909065
llm,1,2024-W09,8,arimax_local_exog,2024-W10,1,11.0,10.03,0.9700000000000006,0.9409000000000013,8.818181818181824
llm,1,2024-W13,12,arima_local,2024-W14,1,11.4,10.66,0.7400000000000002,0.5476000000000003,6.491228070175441
llm,1,2024-W13,12,arimax_local_exog,2024-W14,1,11.4,10.12,1.2800000000000011,1.638400000000003,11.228070175438607
llm,1,2024-W17,16,arima_local,2024-W18,1,16.3,5.82,10.48,109.83040000000001,64.29447852760735
llm,1,2024-W17,16,arimax_local_exog,2024-W18,1,16.3,6.83,9.47,89.68090000000001,58.09815950920245
llm,1,2024-W21,20,arima_local,2024-W22,1,10.9,12.65,1.75,3.0625,16.05504587155963
llm,1,2024-W21,20,arimax_local_exog,2024-W22,1,10.9,11.26,0.35999999999999943,0.1295999999999996,3.302752293577976
llm,1,2024-W25,24,arima_local,2024-W26,1,9.0,13.8,4.800000000000001,23.040000000000006,53.33333333333334
llm,1,2024-W25,24,arimax_local_exog,2024-W26,1,9.0,11.31,2.3100000000000005,5.336100000000003,25.66666666666667
llm,1,2024-W29,28,arima_local,2024-W30,1,15.2,11.1,4.1,16.81,26.973684210526315
llm,1,2024-W29,28,arimax_local_exog,2024-W30,1,15.2,10.85,4.35,18.922499999999996,28.618421052631575
llm,1,2024-W33,32,arima_local,2024-W34,1,6.2,10.51,4.31,18.576099999999997,69.51612903225805
llm,1,2024-W33,32,arimax_local_exog,2024-W34,1,6.2,10.36,4.159999999999999,17.305599999999995,67.09677419354837
llm,1,2024-W37,36,arima_local,2024-W38,1,13.100000000000001,10.24,2.860000000000001,8.179600000000008,21.832061068702295
llm,1,2024-W37,36,arimax_local_exog,2024-W38,1,13.100000000000001,8.64,4.460000000000001,19.891600000000007,34.04580152671756
llm,1,2024-W41,40,arima_local,2024-W42,1,21.4,15.8,5.599999999999998,31.359999999999975,26.16822429906541
llm,1,2024-W41,40,arimax_local_exog,2024-W42,1,21.4,16.38,5.02,25.200399999999995,23.457943925233646
llm,1,2024-W45,44,arima_local,2024-W46,1,24.1,18.89,5.210000000000001,27.14410000000001,21.61825726141079
llm,1,2024-W45,44,arimax_local_exog,2024-W46,1,24.1,18.18,5.920000000000002,35.04640000000002,24.5643153526971
llm,1,2024-W49,48,arima_local,2024-W50,1,23.0,15.84,7.16,51.2656,31.130434782608695
llm,1,2024-W49,48,arimax_local_exog,2024-W50,1,23.0,15.89,7.109999999999999,50.55209999999999,30.913043478260864
llm,1,2024-W53,52,arima_local,2025-W01,1,39.4,29.13,10.27,105.4729,26.065989847715738
llm,1,2024-W53,52,arimax_local_exog,2025-W01,1,39.4,31.1,8.299999999999997,68.88999999999996,21.06598984771573
llm,1,2025-W04,56,arima_local,2025-W05,1,43.9,30.31,13.59,184.6881,30.956719817767652
llm,1,2025-W04,56,arimax_local_exog,2025-W05,1,43.9,33.95,9.949999999999996,99.00249999999991,22.665148063781313
llm,1,2025-W08,60,arima_local,2025-W09,1,40.1,30.99,9.110000000000003,82.99210000000005,22.718204488778063
llm,1,2025-W08,60,arimax_local_exog,2025-W09,1,40.1,38.39,1.7100000000000009,2.924100000000003,4.264339152119702
llm,1,2025-W12,64,arima_local,2025-W13,1,39.5,43.63,4.130000000000003,17.05690000000002,10.455696202531652
llm,1,2025-W12,64,arimax_local_exog,2025-W13,1,39.5,47.07,7.57,57.3049,19.164556962025316
llm,1,2025-W16,68,arima_local,2025-W17,1,50.599999999999994,47.15,3.4499999999999957,11.902499999999971,6.81818181818181
llm,1,2025-W16,68,arimax_local_exog,2025-W17,1,50.599999999999994,48.42,2.1799999999999926,4.752399999999968,4.308300395256903
llm,1,2025-W20,72,arima_local,2025-W21,1,64.4,56.96,7.440000000000005,55.35360000000007,11.552795031055908
llm,1,2025-W20,72,arimax_local_exog,2025-W21,1,64.4,52.76,11.640000000000008,135.48960000000017,18.074534161490693
llm,1,2025-W24,76,arima_local,2025-W25,1,52.8,60.67,7.8700000000000045,61.93690000000007,14.905303030303042
llm,1,2025-W24,76,arimax_local_exog,2025-W25,1,52.8,58.88,6.080000000000005,36.966400000000064,11.515151515151526
llm,1,2025-W28,80,arima_local,2025-W29,1,65.2,64.84,0.35999999999999943,0.1295999999999996,0.5521472392638027
llm,1,2025-W28,80,arimax_local_exog,2025-W29,1,65.2,60.93,4.270000000000003,18.232900000000026,6.549079754601231
llm,1,2025-W32,84,arima_local,2025-W33,1,64.5,60.61,3.8900000000000006,15.132100000000005,6.031007751937985
llm,1,2025-W32,84,arimax_local_exog,2025-W33,1,64.5,60.27,4.229999999999997,17.892899999999972,6.558139534883716
llm,1,2025-W36,88,arima_local,2025-W37,1,57.400000000000006,54.85,2.5500000000000043,6.502500000000022,4.442508710801401
