skill,forecast_week,forecast_step,predicted_count,trend,method,data_points_used,last_actual_count,avg_actual_count,growth_score,ci_lower_step12,ci_upper_step12,endpoint_anomaly_excluded
java,2026-W34,1,252.25,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W35,2,252.09,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W36,3,251.92,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W37,4,251.76,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W38,5,251.59,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W39,6,251.43,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W40,7,251.27,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W41,8,251.1,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W42,9,250.94,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W43,10,250.77,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W44,11,250.61,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
java,2026-W45,12,250.45,stable,ES,132,1,261.18,0.0159,235.04,266.14,True
javascript,2026-W34,1,230.02,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W35,2,229.81,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W36,3,229.61,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W37,4,229.4,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W38,5,229.2,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W39,6,228.99,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W40,7,228.78,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W41,8,228.58,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W42,9,228.37,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W43,10,228.16,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W44,11,227.96,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
javascript,2026-W45,12,227.75,rising,ES,133,205,248.98,0.0404,211.42,247.26,False
react,2026-W34,1,229.08,rising,ES,133,211,231.17,0.0326,214.37,243.18,False
react,2026-W35,2,229.05,rising,ES,133,211,231.17,0.0326,214.37,243.18,False
react,2026-W36,3,229.02,rising,ES,133,211,231.17,0.0326,214.37,243.18,False
react,2026-W37,4,228.99,rising,ES,133,211,231.17,0.0326,214.37,243.18,False
