skill,total_count,kmeans_cluster,kmeans_theme,bertopic_cluster,bertopic_theme,top_coskills
python,35579,0,Cloud & DevOps,0,learning / flask / python,
java,34317,0,Cloud & DevOps,-1,Uncategorized,
javascript,32536,0,Cloud & DevOps,3,react / angular / typescript,
react,30150,0,Cloud & DevOps,3,react / angular / typescript,
aws,26725,0,Cloud & DevOps,1,devops / docker / google,
docker,24251,0,Cloud & DevOps,1,devops / docker / google,
nodejs,23836,0,Cloud & DevOps,3,react / angular / typescript,
machine learning,23162,0,Cloud & DevOps,0,learning / flask / python,
csharp,22156,0,Cloud & DevOps,6,redis / cybersecurity / csharp,
mysql,21686,0,Cloud & DevOps,2,laravel / graphql / php,
azure,21466,0,Cloud & DevOps,1,devops / docker / google,
dotnet,21149,0,Cloud & DevOps,-1,Uncategorized,
devops,20370,0,Cloud & DevOps,1,devops / docker / google,
data science,19919,0,Cloud & DevOps,6,redis / cybersecurity / csharp,
typescript,19871,0,Cloud & DevOps,3,react / angular / typescript,
flutter,19298,0,Cloud & DevOps,5,dart / android / swift,
cybersecurity,18977,0,Cloud & DevOps,6,redis / cybersecurity / csharp,
angular,18800,0,Cloud & DevOps,3,react / angular / typescript,
postgresql,18582,0,Cloud & DevOps,2,laravel / graphql / php,
llm,18142,0,Cloud & DevOps,-1,Uncategorized,
spring,17516,0,Cloud & DevOps,-1,Uncategorized,
agile,16765,0,Cloud & DevOps,7,agile / rust / ruby,
android,16759,0,Cloud & DevOps,5,dart / android / swift,
php,16332,0,Cloud & DevOps,2,laravel / graphql / php,
kubernetes,15918,0,Cloud & DevOps,1,devops / docker / google,
next.js,15691,0,Cloud & DevOps,3,react / angular / typescript,
deep learning,15476,0,Cloud & DevOps,0,learning / flask / python,
mongodb,15132,0,Cloud & DevOps,2,laravel / graphql / php,
data engineering,15005,0,Cloud & DevOps,-1,Uncategorized,
pytorch,14976,0,Cloud & DevOps,0,learning / flask / python,
google cloud,14697,0,Cloud & DevOps,1,devops / docker / google,
tailwind,14446,0,Cloud & DevOps,5,dart / android / swift,
blockchain,13911,0,Cloud & DevOps,-1,Uncategorized,
react native,13092,0,Cloud & DevOps,3,react / angular / typescript,
fastapi,12543,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
langchain,12510,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
microservices,12208,0,Cloud & DevOps,1,devops / docker / google,
django,11972,0,Cloud & DevOps,0,learning / flask / python,
tensorflow,11939,0,Cloud & DevOps,0,learning / flask / python,
go,11808,0,Cloud & DevOps,8,cpp / go / ,
terraform,11603,0,Cloud & DevOps,1,devops / docker / google,
redis,11501,0,Cloud & DevOps,6,redis / cybersecurity / csharp,
laravel,11257,0,Cloud & DevOps,2,laravel / graphql / php,
cpp,10553,0,Cloud & DevOps,8,cpp / go / ,
ios,10055,0,Cloud & DevOps,5,dart / android / swift,
graphql,9958,0,Cloud & DevOps,2,laravel / graphql / php,
kotlin,9379,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
elasticsearch,9033,0,Cloud & DevOps,2,laravel / graphql / php,
scikit-learn,8921,0,Cloud & DevOps,0,learning / flask / python,
vue,8687,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
dart,8462,0,Cloud & DevOps,5,dart / android / swift,
flask,8237,0,Cloud & DevOps,0,learning / flask / python,
rust,7485,0,Cloud & DevOps,7,agile / rust / ruby,
swift,6722,0,Cloud & DevOps,5,dart / android / swift,
ruby,4890,0,Cloud & DevOps,7,agile / rust / ruby,
svelte,4819,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
scala,4531,0,Cloud & DevOps,4,kotlin / fastapi / svelte,
