id,title,company,skills,week,post_date,source
tr_0000000,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000001,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000002,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000003,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000004,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000005,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000006,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000007,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000008,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000009,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000010,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000011,python role,google_trends_global,['python'],2024-W01,2024-01-01,google_trends_global
tr_0000012,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000013,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000014,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000015,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000016,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000017,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000018,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000019,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000020,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000021,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000022,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000023,python role,google_trends_global,['python'],2024-W02,2024-01-08,google_trends_global
tr_0000024,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000025,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000026,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000027,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000028,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000029,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000030,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000031,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000032,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000033,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000034,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000035,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000036,python role,google_trends_global,['python'],2024-W03,2024-01-15,google_trends_global
tr_0000037,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000038,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000039,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000040,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000041,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000042,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000043,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000044,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
tr_0000045,python role,google_trends_global,['python'],2024-W04,2024-01-22,google_trends_global
