week,skill,trend_index,source
2024-W01,python,76.4,linkedin_jobs
2024-W02,python,74.4,linkedin_jobs
2024-W03,python,75.2,linkedin_jobs
2024-W04,python,72.5,linkedin_jobs
2024-W05,python,70.2,linkedin_jobs
2024-W06,python,71.8,linkedin_jobs
2024-W07,python,74.9,linkedin_jobs
2024-W08,python,74.5,linkedin_jobs
2024-W09,python,74.2,linkedin_jobs
2024-W10,python,78.5,linkedin_jobs
2024-W11,python,77.0,linkedin_jobs
2024-W12,python,75.0,linkedin_jobs
2024-W13,python,79.3,linkedin_jobs
2024-W14,python,76.3,linkedin_jobs
2024-W15,python,74.9,linkedin_jobs
2024-W16,python,81.1,linkedin_jobs
2024-W17,python,75.5,linkedin_jobs
2024-W18,python,74.5,linkedin_jobs
2024-W19,python,80.9,linkedin_jobs
2024-W20,python,76.5,linkedin_jobs
2024-W21,python,80.1,linkedin_jobs
2024-W22,python,78.7,linkedin_jobs
2024-W23,python,77.4,linkedin_jobs
2024-W24,python,77.9,linkedin_jobs
2024-W25,python,77.3,linkedin_jobs
2024-W26,python,73.8,linkedin_jobs
2024-W27,python,76.1,linkedin_jobs
2024-W28,python,82.9,linkedin_jobs
2024-W29,python,80.3,linkedin_jobs
2024-W30,python,82.3,linkedin_jobs
2024-W31,python,78.3,linkedin_jobs
2024-W32,python,87.4,linkedin_jobs
2024-W33,python,82.9,linkedin_jobs
2024-W34,python,81.1,linkedin_jobs
2024-W35,python,80.0,linkedin_jobs
2024-W36,python,78.8,linkedin_jobs
2024-W37,python,81.9,linkedin_jobs
2024-W38,python,80.2,linkedin_jobs
2024-W39,python,79.9,linkedin_jobs
2024-W40,python,80.6,linkedin_jobs
2024-W41,python,80.1,linkedin_jobs
2024-W42,python,81.5,linkedin_jobs
2024-W43,python,84.6,linkedin_jobs
2024-W44,python,82.7,linkedin_jobs
2024-W45,python,81.7,linkedin_jobs
2024-W46,python,81.9,linkedin_jobs
2024-W47,python,83.2,linkedin_jobs
2024-W48,python,85.3,linkedin_jobs
2024-W49,python,83.4,linkedin_jobs
2024-W50,python,77.6,linkedin_jobs
2024-W51,python,86.9,linkedin_jobs
2024-W52,python,81.4,linkedin_jobs
2024-W53,python,85.8,linkedin_jobs
2025-W01,python,83.9,linkedin_jobs
2025-W02,python,86.2,linkedin_jobs
2025-W03,python,80.5,linkedin_jobs
2025-W04,python,84.6,linkedin_jobs
2025-W05,python,87.3,linkedin_jobs
2025-W06,python,80.2,linkedin_jobs
2025-W07,python,86.9,linkedin_jobs
2025-W08,python,83.5,linkedin_jobs
2025-W09,python,87.8,linkedin_jobs
2025-W10,python,88.4,linkedin_jobs
2025-W11,python,86.3,linkedin_jobs
2025-W12,python,85.5,linkedin_jobs
2025-W13,python,90.9,linkedin_jobs
2025-W14,python,88.2,linkedin_jobs
2025-W15,python,87.4,linkedin_jobs
2025-W16,python,87.5,linkedin_jobs
2025-W17,python,86.9,linkedin_jobs
2025-W18,python,82.8,linkedin_jobs
2025-W19,python,88.1,linkedin_jobs
2025-W20,python,88.8,linkedin_jobs
2025-W21,python,81.5,linkedin_jobs
2025-W22,python,90.6,linkedin_jobs
2025-W23,python,86.2,linkedin_jobs
2025-W24,python,95.0,linkedin_jobs
2025-W25,python,89.1,linkedin_jobs
2025-W26,python,91.3,linkedin_jobs
2025-W27,python,91.2,linkedin_jobs
2025-W28,python,91.1,linkedin_jobs
2025-W29,python,92.4,linkedin_jobs
2025-W30,python,89.7,linkedin_jobs
2025-W31,python,91.5,linkedin_jobs
2025-W32,python,88.5,linkedin_jobs
2025-W33,python,90.5,linkedin_jobs
2025-W34,python,94.4,linkedin_jobs
2025-W35,python,90.4,linkedin_jobs
2025-W36,python,93.2,linkedin_jobs
2025-W37,python,100.0,linkedin_jobs
2025-W38,python,95.3,linkedin_jobs
2025-W39,python,91.1,linkedin_jobs
2025-W40,python,95.5,linkedin_jobs
2025-W41,python,95.1,linkedin_jobs
2025-W42,python,93.7,linkedin_jobs
2025-W43,python,98.8,linkedin_jobs
2025-W44,python,89.4,linkedin_jobs
2025-W45,python,98.9,linkedin_jobs
2025-W46,python,93.7,linkedin_jobs
2025-W47,python,94.7,linkedin_jobs
2025-W48,python,93.5,linkedin_jobs
2025-W49,python,97.7,linkedin_jobs
2025-W50,python,94.5,linkedin_jobs
2025-W51,python,96.2,linkedin_jobs
2025-W52,python,98.0,linkedin_jobs
2026-W01,python,97.3,linkedin_jobs
2026-W02,python,99.3,linkedin_jobs
2026-W03,python,93.0,linkedin_jobs
2026-W04,python,100.0,linkedin_jobs
2026-W05,python,94.8,linkedin_jobs
2026-W06,python,97.9,linkedin_jobs
2026-W07,python,97.8,linkedin_jobs
2026-W08,python,100.0,linkedin_jobs
2026-W09,python,95.5,linkedin_jobs
2026-W10,python,96.8,linkedin_jobs
2026-W11,python,96.2,linkedin_jobs
2026-W12,python,97.9,linkedin_jobs
2026-W13,python,98.7,linkedin_jobs
2026-W14,python,95.2,linkedin_jobs
2026-W15,python,99.3,linkedin_jobs
2026-W16,python,99.2,linkedin_jobs
2026-W17,python,98.0,linkedin_jobs
2026-W18,python,100.0,linkedin_jobs
2026-W19,python,100.0,linkedin_jobs
2026-W20,python,100.0,linkedin_jobs
2026-W21,python,100.0,linkedin_jobs
2026-W22,python,99.9,linkedin_jobs
2026-W23,python,96.5,linkedin_jobs
2026-W24,python,100.0,linkedin_jobs
2026-W25,python,91.4,linkedin_jobs
2024-W01,java,63.9,linkedin_jobs
2024-W02,java,59.7,linkedin_jobs
2024-W03,java,62.6,linkedin_jobs
2024-W04,java,59.3,linkedin_jobs
2024-W05,java,63.0,linkedin_jobs
2024-W06,java,62.7,linkedin_jobs
2024-W07,java,64.8,linkedin_jobs
2024-W08,java,57.9,linkedin_jobs
2024-W09,java,61.1,linkedin_jobs
2024-W10,java,56.0,linkedin_jobs
2024-W11,java,59.0,linkedin_jobs
2024-W12,java,52.4,linkedin_jobs
2024-W13,java,56.2,linkedin_jobs
2024-W14,java,59.7,linkedin_jobs
2024-W15,java,63.2,linkedin_jobs
2024-W16,java,59.1,linkedin_jobs
2024-W17,java,56.2,linkedin_jobs
2024-W18,java,58.4,linkedin_jobs
2024-W19,java,58.6,linkedin_jobs
2024-W20,java,65.2,linkedin_jobs
2024-W21,java,58.7,linkedin_jobs
2024-W22,java,56.7,linkedin_jobs
2024-W23,java,63.0,linkedin_jobs
2024-W24,java,58.8,linkedin_jobs
2024-W25,java,66.2,linkedin_jobs
2024-W26,java,54.8,linkedin_jobs
2024-W27,java,64.3,linkedin_jobs
2024-W28,java,62.9,linkedin_jobs
2024-W29,java,58.4,linkedin_jobs
2024-W30,java,60.3,linkedin_jobs
2024-W31,java,60.2,linkedin_jobs
2024-W32,java,56.5,linkedin_jobs
2024-W33,java,55.1,linkedin_jobs
2024-W34,java,62.0,linkedin_jobs
2024-W35,java,59.9,linkedin_jobs
2024-W36,java,58.2,linkedin_jobs
2024-W37,java,61.2,linkedin_jobs
2024-W38,java,57.0,linkedin_jobs
2024-W39,java,60.0,linkedin_jobs
2024-W40,java,58.0,linkedin_jobs
2024-W41,java,51.8,linkedin_jobs
2024-W42,java,57.7,linkedin_jobs
2024-W43,java,61.6,linkedin_jobs
