week,skill,trend_index,source
2024-W01,python,62.0,google_trends_global
2024-W02,python,59.6,google_trends_global
2024-W03,python,63.0,google_trends_global
2024-W04,python,66.7,google_trends_global
2024-W05,python,59.8,google_trends_global
2024-W06,python,60.0,google_trends_global
2024-W07,python,67.5,google_trends_global
2024-W08,python,64.4,google_trends_global
2024-W09,python,59.7,google_trends_global
2024-W10,python,63.9,google_trends_global
2024-W11,python,60.1,google_trends_global
2024-W12,python,60.3,google_trends_global
2024-W13,python,63.3,google_trends_global
2024-W14,python,54.9,google_trends_global
2024-W15,python,55.8,google_trends_global
2024-W16,python,60.7,google_trends_global
2024-W17,python,59.0,google_trends_global
2024-W18,python,64.6,google_trends_global
2024-W19,python,59.9,google_trends_global
2024-W20,python,58.0,google_trends_global
2024-W21,python,69.7,google_trends_global
2024-W22,python,63.2,google_trends_global
2024-W23,python,64.5,google_trends_global
2024-W24,python,58.8,google_trends_global
2024-W25,python,62.5,google_trends_global
2024-W26,python,65.3,google_trends_global
2024-W27,python,60.4,google_trends_global
2024-W28,python,66.7,google_trends_global
2024-W29,python,63.0,google_trends_global
2024-W30,python,64.5,google_trends_global
2024-W31,python,63.4,google_trends_global
2024-W32,python,73.4,google_trends_global
2024-W33,python,66.1,google_trends_global
2024-W34,python,62.2,google_trends_global
2024-W35,python,69.9,google_trends_global
2024-W36,python,61.9,google_trends_global
2024-W37,python,67.8,google_trends_global
2024-W38,python,59.3,google_trends_global
2024-W39,python,62.1,google_trends_global
2024-W40,python,68.3,google_trends_global
2024-W41,python,70.7,google_trends_global
2024-W42,python,68.6,google_trends_global
2024-W43,python,67.7,google_trends_global
2024-W44,python,67.1,google_trends_global
2024-W45,python,62.6,google_trends_global
2024-W46,python,65.8,google_trends_global
2024-W47,python,67.1,google_trends_global
2024-W48,python,73.3,google_trends_global
2024-W49,python,70.7,google_trends_global
2024-W50,python,62.4,google_trends_global
2024-W51,python,71.0,google_trends_global
2024-W52,python,68.3,google_trends_global
2024-W53,python,67.4,google_trends_global
2025-W01,python,72.7,google_trends_global
2025-W02,python,74.6,google_trends_global
2025-W03,python,74.4,google_trends_global
2025-W04,python,67.5,google_trends_global
2025-W05,python,69.8,google_trends_global
2025-W06,python,72.6,google_trends_global
2025-W07,python,75.3,google_trends_global
2025-W08,python,69.7,google_trends_global
2025-W09,python,71.1,google_trends_global
2025-W10,python,67.6,google_trends_global
2025-W11,python,67.4,google_trends_global
2025-W12,python,75.7,google_trends_global
2025-W13,python,78.0,google_trends_global
2025-W14,python,72.5,google_trends_global
2025-W15,python,77.0,google_trends_global
2025-W16,python,74.6,google_trends_global
2025-W17,python,70.8,google_trends_global
2025-W18,python,75.0,google_trends_global
2025-W19,python,79.9,google_trends_global
2025-W20,python,73.8,google_trends_global
2025-W21,python,80.4,google_trends_global
2025-W22,python,63.9,google_trends_global
2025-W23,python,77.8,google_trends_global
2025-W24,python,75.1,google_trends_global
2025-W25,python,73.7,google_trends_global
2025-W26,python,75.5,google_trends_global
2025-W27,python,67.4,google_trends_global
2025-W28,python,74.6,google_trends_global
2025-W29,python,77.1,google_trends_global
2025-W30,python,81.8,google_trends_global
2025-W31,python,74.0,google_trends_global
2025-W32,python,73.0,google_trends_global
2025-W33,python,74.5,google_trends_global
2025-W34,python,80.3,google_trends_global
2025-W35,python,78.2,google_trends_global
2025-W36,python,74.9,google_trends_global
2025-W37,python,79.3,google_trends_global
2025-W38,python,77.8,google_trends_global
2025-W39,python,81.5,google_trends_global
2025-W40,python,75.0,google_trends_global
2025-W41,python,76.7,google_trends_global
2025-W42,python,76.6,google_trends_global
2025-W43,python,72.6,google_trends_global
2025-W44,python,79.8,google_trends_global
2025-W45,python,79.8,google_trends_global
2025-W46,python,79.0,google_trends_global
2025-W47,python,78.2,google_trends_global
2025-W48,python,73.7,google_trends_global
2025-W49,python,77.9,google_trends_global
2025-W50,python,78.4,google_trends_global
