week,skill,trend_index,source
2024-W01,python,53.7,topjobs_lk
2024-W02,python,44.2,topjobs_lk
2024-W03,python,43.1,topjobs_lk
2024-W04,python,45.4,topjobs_lk
2024-W05,python,42.8,topjobs_lk
2024-W06,python,42.3,topjobs_lk
2024-W07,python,43.4,topjobs_lk
2024-W08,python,44.3,topjobs_lk
2024-W09,python,34.0,topjobs_lk
2024-W10,python,46.1,topjobs_lk
2024-W11,python,47.0,topjobs_lk
2024-W12,python,47.9,topjobs_lk
2024-W13,python,43.0,topjobs_lk
2024-W14,python,51.1,topjobs_lk
2024-W15,python,47.3,topjobs_lk
2024-W16,python,51.9,topjobs_lk
2024-W17,python,44.9,topjobs_lk
2024-W18,python,44.6,topjobs_lk
2024-W19,python,51.4,topjobs_lk
2024-W20,python,50.0,topjobs_lk
2024-W21,python,50.5,topjobs_lk
2024-W22,python,51.8,topjobs_lk
2024-W23,python,41.6,topjobs_lk
2024-W24,python,50.9,topjobs_lk
2024-W25,python,43.1,topjobs_lk
2024-W26,python,50.2,topjobs_lk
2024-W27,python,43.6,topjobs_lk
2024-W28,python,44.8,topjobs_lk
2024-W29,python,56.1,topjobs_lk
2024-W30,python,38.6,topjobs_lk
2024-W31,python,50.6,topjobs_lk
2024-W32,python,49.2,topjobs_lk
2024-W33,python,50.0,topjobs_lk
2024-W34,python,46.4,topjobs_lk
2024-W35,python,54.6,topjobs_lk
2024-W36,python,46.1,topjobs_lk
2024-W37,python,42.8,topjobs_lk
2024-W38,python,53.3,topjobs_lk
2024-W39,python,54.7,topjobs_lk
2024-W40,python,52.9,topjobs_lk
2024-W41,python,48.4,topjobs_lk
2024-W42,python,59.6,topjobs_lk
2024-W43,python,56.7,topjobs_lk
2024-W44,python,54.7,topjobs_lk
2024-W45,python,50.8,topjobs_lk
2024-W46,python,52.8,topjobs_lk
2024-W47,python,45.6,topjobs_lk
2024-W48,python,52.2,topjobs_lk
2024-W49,python,57.0,topjobs_lk
2024-W50,python,51.1,topjobs_lk
2024-W51,python,51.3,topjobs_lk
2024-W52,python,51.2,topjobs_lk
2024-W53,python,48.3,topjobs_lk
2025-W01,python,54.7,topjobs_lk
2025-W02,python,62.3,topjobs_lk
2025-W03,python,52.8,topjobs_lk
2025-W04,python,48.4,topjobs_lk
2025-W05,python,59.8,topjobs_lk
2025-W06,python,52.7,topjobs_lk
2025-W07,python,54.5,topjobs_lk
2025-W08,python,55.2,topjobs_lk
2025-W09,python,53.2,topjobs_lk
2025-W10,python,58.5,topjobs_lk
2025-W11,python,62.0,topjobs_lk
2025-W12,python,62.9,topjobs_lk
2025-W13,python,66.9,topjobs_lk
2025-W14,python,61.8,topjobs_lk
2025-W15,python,57.2,topjobs_lk
2025-W16,python,48.2,topjobs_lk
2025-W17,python,56.8,topjobs_lk
2025-W18,python,61.0,topjobs_lk
2025-W19,python,59.5,topjobs_lk
2025-W20,python,50.8,topjobs_lk
2025-W21,python,65.5,topjobs_lk
2025-W22,python,57.4,topjobs_lk
2025-W23,python,59.4,topjobs_lk
2025-W24,python,54.3,topjobs_lk
2025-W25,python,59.9,topjobs_lk
2025-W26,python,63.3,topjobs_lk
2025-W27,python,59.1,topjobs_lk
2025-W28,python,61.4,topjobs_lk
2025-W29,python,56.2,topjobs_lk
2025-W30,python,60.5,topjobs_lk
2025-W31,python,60.5,topjobs_lk
2025-W32,python,69.5,topjobs_lk
2025-W33,python,60.4,topjobs_lk
2025-W34,python,65.4,topjobs_lk
2025-W35,python,66.2,topjobs_lk
2025-W36,python,58.8,topjobs_lk
2025-W37,python,59.0,topjobs_lk
2025-W38,python,63.2,topjobs_lk
2025-W39,python,60.7,topjobs_lk
2025-W40,python,60.6,topjobs_lk
2025-W41,python,58.3,topjobs_lk
2025-W42,python,61.0,topjobs_lk
2025-W43,python,59.6,topjobs_lk
2025-W44,python,61.8,topjobs_lk
2025-W45,python,63.3,topjobs_lk
2025-W46,python,65.1,topjobs_lk
2025-W47,python,68.0,topjobs_lk
2025-W48,python,68.9,topjobs_lk
2025-W49,python,59.4,topjobs_lk
2025-W50,python,66.2,topjobs_lk
2025-W51,python,60.2,topjobs_lk
2025-W52,python,65.7,topjobs_lk
2026-W01,python,66.4,topjobs_lk
2026-W02,python,63.2,topjobs_lk
2026-W03,python,66.0,topjobs_lk
2026-W04,python,63.5,topjobs_lk
