week,skill,trend_index,source
2024-W01,python,36.6,google_trends_lk
2024-W02,python,42.5,google_trends_lk
2024-W03,python,38.7,google_trends_lk
2024-W04,python,44.4,google_trends_lk
2024-W05,python,39.7,google_trends_lk
2024-W06,python,48.6,google_trends_lk
2024-W07,python,40.7,google_trends_lk
2024-W08,python,42.5,google_trends_lk
2024-W09,python,46.7,google_trends_lk
2024-W10,python,39.8,google_trends_lk
2024-W11,python,45.1,google_trends_lk
2024-W12,python,49.1,google_trends_lk
2024-W13,python,39.2,google_trends_lk
2024-W14,python,45.7,google_trends_lk
2024-W15,python,46.2,google_trends_lk
2024-W16,python,48.2,google_trends_lk
2024-W17,python,41.4,google_trends_lk
2024-W18,python,41.3,google_trends_lk
2024-W19,python,48.0,google_trends_lk
2024-W20,python,47.5,google_trends_lk
2024-W21,python,47.5,google_trends_lk
2024-W22,python,48.1,google_trends_lk
2024-W23,python,44.7,google_trends_lk
2024-W24,python,48.2,google_trends_lk
2024-W25,python,48.6,google_trends_lk
2024-W26,python,45.3,google_trends_lk
2024-W27,python,54.6,google_trends_lk
2024-W28,python,49.9,google_trends_lk
2024-W29,python,44.3,google_trends_lk
2024-W30,python,51.0,google_trends_lk
2024-W31,python,45.6,google_trends_lk
2024-W32,python,52.0,google_trends_lk
2024-W33,python,53.5,google_trends_lk
2024-W34,python,46.8,google_trends_lk
2024-W35,python,53.3,google_trends_lk
2024-W36,python,51.6,google_trends_lk
2024-W37,python,53.2,google_trends_lk
2024-W38,python,57.2,google_trends_lk
2024-W39,python,50.0,google_trends_lk
2024-W40,python,48.4,google_trends_lk
2024-W41,python,48.2,google_trends_lk
2024-W42,python,48.7,google_trends_lk
2024-W43,python,51.5,google_trends_lk
2024-W44,python,53.2,google_trends_lk
2024-W45,python,53.2,google_trends_lk
2024-W46,python,55.4,google_trends_lk
2024-W47,python,52.7,google_trends_lk
2024-W48,python,58.0,google_trends_lk
2024-W49,python,52.2,google_trends_lk
2024-W50,python,62.9,google_trends_lk
2024-W51,python,55.8,google_trends_lk
2024-W52,python,50.9,google_trends_lk
2024-W53,python,50.3,google_trends_lk
2025-W01,python,56.0,google_trends_lk
2025-W02,python,53.8,google_trends_lk
2025-W03,python,57.3,google_trends_lk
