candidate_id,target_role,experience_level,cv_skills_count,required_skills_count,preferred_skills_count,matched_required_count,matched_preferred_count,missing_required_count,missing_preferred_count,required_match_ratio,preferred_match_ratio,project_match_ratio,experience_months,num_projects,has_projects,num_certificates,has_certificates,ats_quality_score,final_score,level
CAND_920D187A,AI Engineer,Fresher,22,10,15,3,4,7,10,0.3,0.2857142857142857,0.043478260869565216,0.0,7.0,1,12.0,1,36.0,32.31,Beginner
CAND_B208BBBB,Data Analyst,Junior,32,10,7,3,2,7,5,0.3,0.2857142857142857,0.11764705882352941,12.0,2.0,1,1.0,1,52.0,32.06,Beginner
CAND_15E5E1DE,Software Developer,Fresher,26,10,15,4,4,6,10,0.4,0.2857142857142857,0.13043478260869565,0.0,4.0,1,1.0,1,49.0,30.26,Beginner
CAND_B41CA43C,Software Developer,Fresher,16,10,15,5,4,5,10,0.5,0.2857142857142857,0.08695652173913043,0.0,2.0,1,1.0,1,44.5,31.72,Beginner
CAND_D41C2E0F,Data Scientist,Fresher,47,10,9,5,4,5,5,0.5,0.4444444444444444,0.15789473684210525,0.0,5.0,1,3.0,1,41.0,39.86,Beginner
CAND_82AFFC53,Web Developer / Software Quality Assurance,Fresher,20,10,9,4,2,6,6,0.4,0.25,0.1111111111111111,0.0,5.0,1,6.0,1,66.0,38.47,Beginner
CAND_D92710F7,Quality Engineer,Entry Level,26,10,9,3,3,7,6,0.3,0.3333333333333333,0.05263157894736842,11.0,3.0,1,5.0,1,66.0,41.3,Beginner
CAND_65DCABEC,Mobile Application Developer,Entry Level,21,10,8,4,2,6,6,0.4,0.25,0.0,6.0,1.0,1,3.0,1,34.0,31.62,Beginner
CAND_4D33905C,Mobile App Developer,Fresher,21,10,9,1,3,9,6,0.1,0.3333333333333333,0.05555555555555555,0.0,3.0,1,1.0,1,47.5,17.54,Beginner
CAND_7D53CBD3,UI/UX Designer,Fresher,31,10,7,1,2,9,5,0.1,0.2857142857142857,0.0,0.0,2.0,1,1.0,1,36.0,13.99,Beginner
CAND_99FD4846,AI ML,Fresher,16,10,12,4,2,6,9,0.4,0.18181818181818182,0.23809523809523808,0.0,6.0,1,8.0,1,54.0,39.09,Beginner
CAND_99D8455A,AI ML,Fresher,3,10,12,1,1,9,10,0.1,0.09090909090909091,0.09523809523809523,0.0,1.0,1,5.0,1,9.5,18.48,Beginner
CAND_0D357D38,AI ML,Fresher,18,10,12,7,3,3,8,0.7,0.2727272727272727,0.0,0.0,0.0,0,35.0,1,27.0,42.08,Beginner
CAND_626C4BA9,AI ML,Fresher,32,10,12,8,6,2,5,0.8,0.5454545454545454,0.09523809523809523,0.0,6.0,1,30.0,1,78.0,57.78,Intermediate
CAND_52BAFD9F,AI ML,Fresher,55,10,12,8,4,2,7,0.8,0.36363636363636365,0.5238095238095238,0.0,9.0,1,8.0,1,100.0,63.49,Intermediate
CAND_7EEB74EA,AI ML,Fresher,16,10,12,2,4,8,7,0.2,0.36363636363636365,0.14285714285714285,0.0,9.0,1,12.0,1,69.0,32.23,Beginner
CAND_FEEE6BD0,AI ML,Fresher,4,10,12,1,1,9,10,0.1,0.09090909090909091,0.0,0.0,0.0,0,1.0,1,6.0,7.21,Beginner
CAND_01B77EB1,AI ML,Fresher,43,10,12,8,5,2,6,0.8,0.45454545454545453,0.0,0.0,0.0,0,5.0,1,64.5,49.77,Beginner
CAND_2602A2E6,AI ML,Fresher,11,10,12,1,2,9,9,0.1,0.18181818181818182,0.0,0.0,0.0,0,15.0,1,16.5,16.64,Beginner
CAND_AC534A96,AI ML,Fresher,25,10,12,5,3,5,8,0.5,0.2727272727272727,0.3333333333333333,0.0,4.0,1,9.0,1,57.5,45.6,Beginner
